timestamp_ms,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
3498,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3500,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3502,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3504,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3506,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3508,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3510,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3512,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3514,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3516,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3518,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3520,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3522,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3524,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3526,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3528,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3530,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3532,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3534,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3536,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3538,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3540,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3542,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3544,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3546,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3548,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3550,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3552,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3554,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3556,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3558,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3560,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3562,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3564,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3566,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3568,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3570,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3572,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3574,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3576,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3578,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3580,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3582,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3584,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3586,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3588,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3590,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3592,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3594,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3596,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3598,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3600,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3602,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
